Mira's ID,Paint or non-paint,zoie_sector
MP_ID_1,Paint,Road marking
MP_ID_2,Paint,Architectural
MP_ID_3,Non-paint,
MP_ID_4,Paint,Marine
MP_ID_6,Paint,Road marking
MP_ID_7,Paint,Architectural
MP_ID_8,Non-paint,
MP_ID_9,Paint,General Industrial
MP_ID_10,Non-paint,
MP_ID_11,Paint,Road marking
MP_ID_12,Non-paint,Marine
MP_ID_13,Paint,General Industrial
MP_ID_14,Paint,Architectural
MP_ID_15,Paint,Marine
MP_ID_16,Paint,Industrial Wood
MP_ID_17,Paint,Architectural
MP_ID_18,Paint,Architectural
MP_ID_19,Paint,General Industrial
MP_ID_20,Paint,Road marking
MP_ID_21,Paint,Architectural
MP_ID_22,Paint,Road marking
MP_ID_23,Paint,General Industrial
MP_ID_24,Non-paint,
MP_ID_25,Paint,Marine
MP_ID_26,Paint,Marine
MP_ID_27,Paint,Architectural
MP_ID_28,Non-paint,
MP_ID_29,Paint,Architectural
MP_ID_30,Paint,General Industrial
MP_ID_31,Paint,General Industrial
MP_ID_32,Paint,General Industrial
MP_ID_33,Non-paint,
MP_ID_34,Paint,Marine
MP_ID_35,Paint,Marine
MP_ID_36,Paint,Road marking
MP_ID_37,Paint,Marine
MP_ID_38,Paint,Marine
MP_ID_39,Paint,Marine
